               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  42,            0.047919,            0.012637,                   0,          0.00014027,          0.00088652,          6.1934e-05,          1.2387e-05,            0.047416,            0.010603,                   0,           0.0081466,           0.0081466,            0.023147
                  43,             0.04745,            0.012586,                   0,          0.00074333,          0.00088652,          0.00012674,          1.2674e-05,            0.047418,            0.010722,                   0,           0.0083296,           0.0083296,             0.02133
                  44,            0.047403,            0.016693,                   0,          0.00074333,          0.00088652,          0.00012674,          1.2674e-05,            0.047418,            0.010729,                   0,           0.0085123,           0.0085123,            0.019512
                  45,            0.046901,            0.016132,                   0,          0.00040143,            0.001773,           0.0001862,           1.862e-05,            0.047396,            0.010518,                   0,           0.0086946,           0.0086946,            0.017695
                  46,            0.047719,            0.008913,                   0,          0.00040143,            0.001773,           0.0001862,           1.862e-05,            0.047396,            0.010526,                   0,           0.0088765,           0.0088765,            0.015876
                  47,            0.047678,            0.013049,                   0,          0.00037092,          0.00088652,          0.00012445,          1.8762e-05,            0.047325,            0.010103,                   0,            0.009058,            0.009058,            0.014058
                  48,            0.047518,             0.01368,                   0,          0.00037092,          0.00088652,          0.00012445,          1.8762e-05,            0.047325,            0.010113,                   0,           0.0092391,           0.0092391,            0.012239
                  49,            0.048078,            0.013319,                   0,                   0,                   0,                   0,                   0,            0.047231,           0.0095825,                   0,           0.0094198,           0.0094198,             0.01042
                  50,            0.047648,            0.013026,                   0,                   0,                   0,                   0,                   0,            0.047231,           0.0095691,                   0,            0.009505,            0.009505,            0.009505
                  51,            0.047611,            0.010391,                   0,                   0,                   0,                   0,                   0,            0.047109,           0.0093662,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.048619,            0.010495,                   0,                   0,                   0,                   0,                   0,            0.047109,           0.0093668,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.047962,             0.01085,                   0,                   0,                   0,                   0,                   0,            0.046991,           0.0094112,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.047035,            0.012084,                   0,                   0,                   0,                   0,                   0,            0.046991,           0.0094117,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.046658,            0.016759,                   0,                   0,                   0,                   0,                   0,            0.046877,           0.0094125,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.047768,           0.0085502,                   0,                   0,                   0,                   0,                   0,            0.046877,            0.009411,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.046495,            0.015221,                   0,           0.0007898,          0.00088652,          6.5185e-05,          1.3037e-05,            0.046836,           0.0094051,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.047446,            0.011419,                   0,           0.0007898,          0.00088652,          6.5185e-05,          1.3037e-05,            0.046836,           0.0094037,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.047629,           0.0081712,                   0,           0.0049058,          0.00088652,          0.00014707,          5.3033e-05,            0.046646,           0.0093585,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.048387,           0.0092275,                   0,           0.0049058,          0.00088652,          0.00014707,          5.3033e-05,            0.046646,           0.0093538,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.047003,            0.013788,                   0,           0.0013851,           0.0035461,           0.0002758,          4.6459e-05,             0.04653,           0.0096822,                   0,            0.009406,            0.009406,            0.009406
