               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051957,             0.03058,            0.010373,                   0,                   0,                   0,                   0,            0.053444,             0.02383,           0.0096497,                   0,                   0,                 0.1
                   1,            0.052086,            0.028555,           0.0099411,                   0,                   0,                   0,                   0,            0.053587,            0.023563,           0.0097558,          9.9901e-05,          9.9901e-05,              0.0991
                   2,            0.051587,             0.03315,           0.0098515,                   0,                   0,                   0,                   0,            0.053503,             0.02342,           0.0097227,           0.0001996,           0.0001996,              0.0982
                   3,             0.05273,            0.024462,            0.010604,                   0,                   0,                   0,                   0,            0.053319,            0.023684,           0.0097284,          0.00029911,          0.00029911,            0.097299
                   4,            0.052974,            0.027466,           0.0094828,                   0,                   0,                   0,                   0,            0.053158,            0.023587,           0.0097011,          0.00039842,          0.00039842,            0.096398
                   5,             0.05254,            0.023429,           0.0099771,                   0,                   0,                   0,                   0,            0.052937,            0.023652,           0.0096991,          0.00049752,          0.00049752,            0.095498
                   6,            0.050326,            0.032498,           0.0096382,                   0,                   0,                   0,                   0,            0.052647,            0.024003,           0.0097368,          0.00059644,          0.00059644,            0.094596
                   7,            0.051797,             0.02271,            0.010009,                   0,                   0,                   0,                   0,            0.052329,            0.024372,           0.0096758,          0.00069515,          0.00069515,            0.093695
                   8,            0.051861,            0.025713,           0.0095442,                   0,                   0,                   0,                   0,            0.051985,             0.02458,           0.0095875,          0.00079366,          0.00079366,            0.092794
                   9,            0.048723,            0.030626,           0.0099322,                   0,                   0,                   0,                   0,            0.051683,            0.024684,           0.0095256,          0.00089198,          0.00089198,            0.091892
                  10,            0.050746,            0.025328,            0.010573,                   0,                   0,                   0,                   0,            0.051317,            0.024999,           0.0093841,           0.0009901,           0.0009901,             0.09099
                  11,            0.050587,            0.029659,            0.010324,                   0,                   0,                   0,                   0,            0.050919,            0.025076,           0.0091961,            0.001088,            0.001088,            0.090088
                  12,            0.048667,            0.024806,             0.01033,                   0,                   0,                   0,                   0,            0.050578,             0.02531,           0.0090237,           0.0011857,           0.0011857,            0.089186
                  13,            0.050554,             0.02403,           0.0098336,                   0,                   0,                   0,                   0,            0.050414,            0.024964,           0.0088975,           0.0012833,           0.0012833,            0.088283
                  14,            0.050626,            0.026399,           0.0088944,                   0,                   0,                   0,                   0,            0.049967,            0.025276,           0.0089385,           0.0013806,           0.0013806,            0.087381
                  15,            0.049221,            0.030887,           0.0083942,                   0,                   0,                   0,                   0,            0.049473,            0.025467,           0.0088304,           0.0014777,           0.0014777,            0.086478
                  16,            0.052155,            0.020096,           0.0089991,                   0,                   0,                   0,                   0,            0.049089,            0.025443,           0.0086728,           0.0015747,           0.0015747,            0.085575
                  17,            0.047615,            0.028587,           0.0089827,                   0,                   0,                   0,                   0,            0.049089,            0.025528,           0.0086728,           0.0016714,           0.0016714,            0.084671
                  18,            0.048422,            0.040585,           0.0085132,                   0,                   0,                   0,                   0,            0.048804,            0.025124,           0.0084237,           0.0017679,           0.0017679,            0.083768
                  19,            0.049297,            0.023666,           0.0084387,                   0,                   0,                   0,                   0,            0.048804,            0.025377,           0.0084237,           0.0018643,           0.0018643,            0.082864
                  20,            0.050968,            0.020384,           0.0086017,                   0,                   0,                   0,                   0,            0.048548,            0.024844,           0.0081677,           0.0019604,           0.0019604,             0.08196
